no attack,,,,,,,,,,reflection,,,,,,,,,,scale,,,,,,,
observable,,,error,,,input,,,,observable,,,error,,,input,,,,observable,,,error,,,input,
x,y,theta,e_x,e_y,e_theta,v,w,,,x,y,theta,e_x,e_y,e_theta,v,w,,,x,y,theta,e_x,e_y,e_theta,v,w
0.007584,0.02192,0.768954,0.0019,0.050712,0.358637,0.0163,3.6805925,,,0,0.02332,0,-0.003095,0.061827,0.359414,0.004284,-2.397984,,,0,0.0213,0,0.032481,0.078891,0.401143,0.0411367,2.846705
0.010554,0.025943,1.013305,0.0039,0.051462,0.358208,0.0203,3.705285,,,0.004947,0.012203,-0.000777,0.010838,0.061641,0.165407,0.036235125,-1.993848,,,-0.033904,-0.005427,-0.042506,0.053343,0.069361,0.165365,0.064471,2.160113
0.016871,0.036937,1.055977,0.020083,0.051937,-0.41147,0.05245,0.9966631,,,0.005024,0.012194,0.28731,0.032247,0.052323,-0.240988,0.0842175,-0.932834,,,-0.0357,-0.005678,0.319418,0.073548,0.037303,-0.307452,0.0864985,0.477095
0.021759,0.045396,1.03607,0.028758,0.044625,-0.656842,0.068466,-0.0343869,,,0.008736,0.014134,0.598472,0.034624,0.043171,-0.485706,0.088520625,-0.249578,,,-0.028963,-0.001226,0.664935,0.061143,0.025278,-0.467692,0.0724966,-0.096633
0.02448,0.049873,1.012421,0.023185,0.042028,-0.702719,0.057009,-0.2593547,,,0.017055,0.021697,0.842169,0.026084,0.039242,-0.577984,0.0687375,0.004797,,,-0.011563,0.016133,0.857416,0.032554,0.021894,-0.507552,0.0409354,-0.244727
0.027405,0.054432,0.984328,0.012785,0.040935,-0.688108,0.036304,-0.25988,,,0.025902,0.0327,0.933131,0.016725,0.037591,-0.599491,0.047532375,0.079142,,,0.005358,0.036031,0.8627,0.019808,0.021663,-0.479272,0.0269907,-0.197427
0.028284,0.055732,0.968026,0.006105,0.03987,-0.660789,0.02312,-0.2230682,,,0.032856,0.042351,0.953028,0.008541,0.036453,-0.59596,0.029134125,0.098332,,,0.016795,0.048892,0.819771,0.008794,0.02131,-0.440483,0.0149732,-0.131992
0.029556,0.057529,0.94364,0.002018,0.03867,-0.639484,0.015075,-0.2073551,,,0.038516,0.050284,0.947591,0.00447,0.035357,-0.583523,0.02004975,0.10102,,,0.023928,0.056289,0.785055,0.004807,0.020609,-0.416027,0.0106425,-0.100871
0.029855,0.057937,0.931145,0.000815,0.037446,-0.621087,0.012779,-0.2004701,,,0.041643,0.054581,0.932955,0.00239,0.034247,-0.570274,0.01544625,0.102528,,,0.027373,0.059644,0.759207,0.003079,0.019832,-0.401773,0.0087703,-0.091127
0.030023,0.05816,0.904508,-0.000229,0.036234,-0.601872,0.010799,-0.1903143,,,0.043636,0.057231,0.917213,0.001735,0.033142,-0.558158,0.014041125,0.105983,,,0.029366,0.061514,0.747061,0.004191,0.019042,-0.394772,0.0100023,-0.095931
0.030853,0.059181,0.878637,0.000264,0.03504,-0.59007,0.011846,-0.2013694,,,0.044833,0.058769,0.902311,0.00098,0.032057,-0.543117,0.0124245,0.103735,,,0.02974,0.061856,0.733543,0.005446,0.018332,-0.378769,0.0114136,-0.081484
0.031621,0.060089,0.86202,0.000986,0.033889,-0.571742,0.013385,-0.1912238,,,0.046072,0.060307,0.884193,0.000532,0.030985,-0.530673,0.011480625,0.105923,,,0.02989,0.061991,0.719845,0.006341,0.017631,-0.369958,0.0124102,-0.081102
0.032756,0.061383,0.841148,0.001105,0.032794,-0.54944,0.013737,-0.1666044,,,0.047206,0.061667,0.86838,0.000349,0.029935,-0.514592,0.011151,0.10098,,,0.030967,0.062913,0.70204,0.005261,0.01699,-0.354746,0.0112464,-0.066931
0.033146,0.061815,0.829774,0.000556,0.031723,-0.53192,0.012721,-0.1554388,,,0.048132,0.062741,0.848641,0.000107,0.028909,-0.501684,0.01066725,0.10139,,,0.03342,0.064952,0.685146,0.003988,0.016326,-0.345287,0.0098582,-0.064774
0.03422,0.06296,0.806642,0.000323,0.030674,-0.517965,0.012317,-0.1544817,,,0.049195,0.063929,0.831785,0.000554,0.027905,-0.492826,0.011709,0.108909,,,0.035271,0.066446,0.673878,0.004404,0.015657,-0.339741,0.010318,-0.070681
0.035122,0.063883,0.788493,0.000927,0.029646,-0.508429,0.01356,-0.1666503,,,0.049899,0.064691,0.818692,0.000738,0.026935,-0.476592,0.012196125,0.102067,,,0.036105,0.067105,0.665606,0.006396,0.01497,-0.341142,0.0124982,-0.091005
0.036492,0.065233,0.766787,0.001199,0.028651,-0.494828,0.01416,-0.1650387,,,0.050668,0.065497,0.797936,0.000205,0.025993,-0.461033,0.01106325,0.095915,,,0.035985,0.067012,0.66239,0.00522,0.014425,-0.323345,0.0112288,-0.070298
0.037151,0.065862,0.757755,0.000592,0.027689,-0.47704,0.013017,-0.1491267,,,0.051989,0.066825,0.777573,0.000104,0.025073,-0.447634,0.01088775,0.093407,,,0.038326,0.068783,0.639885,0.004427,0.01384,-0.313693,0.0103653,-0.066843
0.038604,0.067199,0.733597,0.000305,0.026744,-0.465443,0.012482,-0.1522921,,,0.053082,0.06788,0.759086,0.000453,0.02418,-0.436355,0.01171125,0.094495,,,0.040944,0.070692,0.621618,0.004192,0.01325,-0.307351,0.010109,-0.07033
0.039626,0.068106,0.719281,0.000681,0.02582,-0.457315,0.013255,-0.1660434,,,0.053914,0.068657,0.74244,0.00051,0.023313,-0.42498,0.01187775,0.094966,,,0.04239,0.071716,0.611144,0.005291,0.012648,-0.306193,0.0113102,-0.084625
0.040643,0.068981,0.703055,0.000643,0.024923,-0.443364,0.013225,-0.1604215,,,0.054985,0.069623,0.72542,0.00039,0.022475,-0.410666,0.011655,0.089367,,,0.042763,0.071977,0.606632,0.007654,0.012033,-0.30923,0.0138952,-0.107768
0.041499,0.069694,0.68512,0.000155,0.024047,-0.430954,0.012287,-0.15924,,,0.056171,0.070652,0.705186,0.000111,0.021661,-0.395186,0.011080125,0.081135,,,0.042556,0.071833,0.59711,0.004452,0.011642,-0.282464,0.0104071,-0.066976
0.042348,0.070375,0.666965,0.000328,0.02319,-0.42119,0.012658,-0.1661539,,,0.057493,0.071753,0.683513,0.000108,0.02087,-0.384658,0.011100375,0.0821,,,0.046443,0.074396,0.570791,0.004197,0.011118,-0.277335,0.0101244,-0.072412
0.044115,0.07173,0.641506,0.001044,0.022356,-0.413647,0.014103,-0.1797556,,,0.058718,0.072734,0.666524,0.000364,0.020103,-0.375064,0.011696625,0.084566,,,0.048584,0.075747,0.556107,0.004908,0.010581,-0.277111,0.0108955,-0.088196
